systeminfo_identifier,product,feature,featureversion,binaryrating,useragent,updateddate,scaleratingmax,feedbacktext,assetalias
id:5a2c8c9c-cf7e-4f09-b4a6-d733cf2c94f7,Microsoft Office,Word,1,TRUE,25.54.0+1/Android Dalvik/2.1.0 (Linux; U; Android 12; SM-G998U Build/SP1A.210812.016),2022-03-11T14:02:16.218Z,,,Android.App
id:57f61b71-2daa-4416-95f1-f6f39c4d1b87,Microsoft Office,Word,1,TRUE,25.55.0/Android Dalvik/2.1.0 (Linux; U; Android 8.1.0; SM-T378V Build/M1AJQ),2022-03-11T14:17:00.231Z,,,Android.App
id:8b85c98a-8c72-4eda-9aab-1dff4ee1e042,Microsoft Office,Word,1,TRUE,25.55.0/Android Dalvik/2.1.0 (Linux; U; Android 11; E7110 Build/3.800VZ.0503.a),2022-03-11T14:25:57.221Z,,,Android.App
id:1ba9ff3a-caa9-469f-94b5-80e31a57b51f,Microsoft Office,Word,1,TRUE,25.55.0/Android Dalvik/2.1.0 (Linux; U; Android 10; SM-G965U Build/QP1A.190711.020),2022-03-11T13:20:58.730Z,,,Android.App
id:85be1392-2bc6-4b7d-a0d4-1391f3446919,Microsoft Office,Word,1,TRUE,25.55.0/Android Dalvik/2.1.0 (Linux; U; Android 11; SM-A516U Build/RP1A.200720.012),2022-03-11T13:58:29.273Z,,,Android.App
id:ef3013e9-09ef-4cf1-aefe-8c9e501a1daa,Microsoft Office,Word,1,TRUE,25.55.0/Android Dalvik/2.1.0 (Linux; U; Android 9; SM-G950U Build/PPR1.180610.011),2022-03-11T13:46:14.641Z,,,Android.App
id:a2c44d73-e74e-4f98-9875-fae736669901,Microsoft Office,Word,1,TRUE,25.55.0/Android Dalvik/2.1.0 (Linux; U; Android 12; SM-G991U1 Build/SP1A.210812.016),2022-03-11T13:59:22.181Z,,,Android.App
id:f005c9f8-d050-4caa-84be-8df0e4fa97a1,Microsoft Office,Word,1,TRUE,25.55.0/Android Dalvik/2.1.0 (Linux; U; Android 11; SM-A515U Build/RP1A.200720.012),2022-03-11T13:26:27.721Z,,,Android.App
id:a2eb8627-74c7-4c26-8d2b-cb4b36b38461,Microsoft Office,Word,1,TRUE,25.54.0+1/Android Dalvik/2.1.0 (Linux; U; Android 12; SM-N986U Build/SP1A.210812.016),2022-03-11T13:05:25.169Z,,,Android.App
id:252331e6-f5ef-4b14-8d15-e8db6c088cc3,Microsoft Office,Word,1,TRUE,25.55.0/Android Dalvik/2.1.0 (Linux; U; Android 12; SM-N981U Build/SP1A.210812.016),2022-03-11T13:16:25.723Z,,,Android.App
id:c382d183-5927-4796-8cb8-0e06a06f1e88,Microsoft Office,Word,1,TRUE,25.54.0+1/Android Dalvik/2.1.0 (Linux; U; Android 12; SM-S906U Build/SP1A.210812.016),2022-03-09T14:56:02.037Z,,,Android.App
id:eef022a6-4302-4bcc-aef2-4bbce20f2ff9,Microsoft Office,Word,1,TRUE,25.55.0/Android Dalvik/2.1.0 (Linux; U; Android 12; SM-S908U Build/SP1A.210812.016),2022-03-09T14:16:47.172Z,,,Android.App
id:434f5250-54dc-49de-99df-cce32592a5ce,Microsoft Office,Word,1,FALSE,25.54.0+1/Android Dalvik/2.1.0 (Linux; U; Android 12; SM-G996U Build/SP1A.210812.016),2022-03-09T14:30:26.620Z,,the total is incorrect,Android.App
id:434f5250-54dc-49de-99df-cce32592a5ce,Microsoft Office,Word,1,FALSE,25.54.0+1/Android Dalvik/2.1.0 (Linux; U; Android 12; SM-G996U Build/SP1A.210812.016),2022-03-09T14:30:26.620Z,,the total is incorrect,Android.App
id:a60530b0-2a4f-4e00-a1f6-3979e215494c,Microsoft Office,Word,1,TRUE,25.54.0+1/Android Dalvik/2.1.0 (Linux; U; Android 12; SM-G986U Build/SP1A.210812.016),2022-03-09T14:36:43.651Z,,,Android.App
